time,Open,High,Low,Close,Volume
2026-04-23 02:00:00,7131.5,7134.0,7126.8,7133.2,765
2026-04-23 03:00:00,7133.2,7133.7,7076.2,7125.5,7514
2026-04-23 04:00:00,7125.5,7125.7,7110.2,7111.9,4614
2026-04-23 05:00:00,7111.9,7113.0,7102.7,7103.8,4686
2026-04-23 06:00:00,7103.8,7106.8,7089.7,7097.7,4273
2026-04-23 07:00:00,7097.7,7106.1,7094.1,7105.7,2399
2026-04-23 08:00:00,7105.7,7109.1,7101.6,7108.8,3028
2026-04-23 09:00:00,7109.0,7115.2,7108.7,7113.7,2562
2026-04-23 10:00:00,7113.7,7119.5,7111.0,7115.5,3940
2026-04-23 11:00:00,7115.6,7117.1,7101.5,7103.5,4038
2026-04-23 12:00:00,7103.5,7110.7,7096.4,7105.7,3822
2026-04-23 13:00:00,7105.7,7113.2,7100.0,7112.2,3522
2026-04-23 14:00:00,7112.7,7131.2,7105.0,7128.7,4426
2026-04-23 15:00:00,7128.7,7139.7,7108.6,7122.6,5104
2026-04-23 16:00:00,7122.6,7141.5,7114.5,7130.5,4722
2026-04-23 17:00:00,7130.5,7149.0,7119.8,7146.0,5223
2026-04-23 18:00:00,7145.5,7152.0,7135.0,7139.2,3801
2026-04-23 19:00:00,7139.2,7140.2,7131.0,7136.7,2992
2026-04-23 20:00:00,7136.7,7138.7,7050.7,7094.0,10435
2026-04-23 21:00:00,7094.0,7122.7,7090.2,7099.1,6705
2026-04-23 22:00:00,7099.0,7117.2,7093.4,7112.2,5169
2026-04-23 23:00:00,7112.2,7115.2,7097.5,7097.5,3081
2026-04-24 01:00:00,7112.0,7118.9,7110.1,7117.6,1884
2026-04-24 02:00:00,7117.6,7124.5,7113.4,7124.4,1243
2026-04-24 03:00:00,7124.4,7132.4,7121.7,7127.2,2859
2026-04-24 04:00:00,7127.3,7128.8,7121.9,7127.7,3186
2026-04-24 05:00:00,7127.7,7127.9,7111.4,7113.6,2798
2026-04-24 06:00:00,7113.6,7115.6,7107.4,7110.2,2755
2026-04-24 07:00:00,7110.2,7116.2,7108.2,7115.4,2446
2026-04-24 08:00:00,7115.4,7122.4,7110.9,7121.9,2150
2026-04-24 09:00:00,7121.9,7123.4,7116.2,7118.5,2347
2026-04-24 10:00:00,7118.3,7126.5,7117.5,7124.7,2819
2026-04-24 11:00:00,7124.7,7130.5,7112.6,7114.6,4353
2026-04-24 12:00:00,7114.6,7117.7,7106.6,7115.0,3245
2026-04-24 13:00:00,7115.0,7123.5,7112.7,7122.0,2446
2026-04-24 14:00:00,7122.0,7160.5,7121.7,7142.0,6813
2026-04-24 15:00:00,7142.0,7148.5,7125.7,7133.5,4975
2026-04-24 16:00:00,7133.5,7141.5,7116.5,7125.5,5748
2026-04-24 17:00:00,7125.6,7142.5,7117.7,7141.0,6863
2026-04-24 18:00:00,7141.0,7168.0,7138.7,7164.9,4932
2026-04-24 19:00:00,7164.7,7166.7,7155.5,7162.7,3194
2026-04-24 20:00:00,7162.7,7171.5,7154.0,7163.2,2811
2026-04-24 21:00:00,7163.2,7164.7,7156.2,7162.2,2130
2026-04-24 22:00:00,7162.0,7171.2,7161.0,7165.9,2509
2026-04-27 01:00:00,7157.4,7163.9,7144.6,7155.4,2425
2026-04-27 02:00:00,7155.4,7155.9,7148.2,7151.9,1355
2026-04-27 03:00:00,7151.9,7166.1,7150.6,7163.6,3030
